symbol,name,sector,subsector,psei
H2O,Philippine H2O Ventures Corp.,Industrial,"Electricity, Energy, Power & Water",False
EMP,Emperador Inc.,Industrial,"Food, Beverage & Tobacco",True
GTCAP,"GT Capital Holdings, Inc.",Holding Firms,Holding Firms,True
EW,East West Banking Corporation,Financials,Banks,False
ROCK,Rockwell Land Corporation,Property,Property,False
CAL,Calata Corporation,Services,Retail,False
SMC2B,San Miguel Corporation,Holding Firms,Holding Firms,False
SMC2C,San Miguel Corporation,Holding Firms,Holding Firms,False
COAL,Coal Asia Holdings Incorporated,Mining and Oil,Mining,False
APL,"Apollo Global Capital, Inc.",Services,Information Technology,False
DNL,"D&L Industries, Inc.",Industrial,"Food, Beverage & Tobacco",False
PBB,Philippine Business Bank,Financials,Banks,False
AUB,Asia United Bank Corporation,Financials,Banks,False
DMPL,Del Monte Pacific Limited,Industrial,"Food, Beverage & Tobacco",False
AGF,"AG Finance, Incorporated",Financials,Other Financial Institutions,False
TUGS,"Harbor Star Shipping Services, Inc.",Services,Transportation Services,False
RWM,"Travellers International Hotel Group, Inc.",Services,Casinos & Gaming,False
RRHI,"Robinsons Retail Holdings, Inc.",Services,Retail,False
CIC,Concepcion Industrial Corporation,Industrial,Electrical Components & Equipment,False
FMETF,"First Metro Philippine Equity Exchange Traded Fund, Inc.",ETF-Equity,ETF-Equity,False
LRW,Leisure & Resorts World Corporation,Services,Casinos & Gaming,False
TFHI,"Top Frontier Investment Holdings, Inc.",Holding Firms,Holding Firms,False
DD,DoubleDragon Properties Corp.,Property,Property,False
CNPF,"Century Pacific Food, Inc.",Industrial,"Food, Beverage & Tobacco",False
TAPET,Trans-Asia Petroleum Corporation,Mining and Oil,Oil,False
PRF2B,Petron Corporation,Industrial,"Electricity, Energy, Power & Water",False
SSI,"SSI Group, Inc.",Services,Retail,False
PSPC,Phoenix Semiconductor Philippines Corp.,Industrial,Electrical Components & Equipment,False
X,Xurpas Inc.,"Small, Medium & Emerging Board","Small, Medium & Emerging Board",False
MWP,Megawide Construction Corporation,Industrial,"Construction, Infrastructure & Allied Services",False
FPHPC,First Philippine Holdings Corporation,Industrial,"Electricity, Energy, Power & Water",False
CROWN,Crown Asia Chemicals Corporation,Industrial,Chemicals,False
SBS,SBS Philippines Corporation,Services,Other Services,False
SMC2D,San Miguel Corporation,Holding Firms,Holding Firms,False
MRSGI,"Metro Retail Stores Group, Inc.",Services,Retail,False
IDC,Italpinas Development Corporation,"Small, Medium & Emerging Board","Small, Medium & Emerging Board",False
SMC2I,San Miguel Corporation,Holding Firms,Holding Firms,False
HVN,"Golden Haven Memorial Park, Inc.",Services,Other Services,False
CHP,"Cemex Holdings Philippines, Inc.",Industrial,"Construction, Infrastructure & Allied Services",False
DDPR,Doubledragon Properties Corp.,Property,Property,False
GTPPA,"GT Capital Holdings, Inc.",Holding Firms,Holding Firms,False
GTPPB,"GT Capital Holdings, Inc.",Holding Firms,Holding Firms,False
SHLPH,Pilipinas Shell Petroleum Corporation,Industrial,"Electricity, Energy, Power & Water",False
ALCPB,Arthaland Corporation,Property,Property,False
PIZZA,"Shakey's Pizza Asia Ventures, Inc.",Industrial,"Food, Beverage & Tobacco",False
